judet	an	servicii_publice_generale	aparare	invatamant	sanatate	cultura	asigurari_sociale	dezvoltare_locuinte_mediu	mediu	energie	transporturi	altele
Alba	2007	77399407	7349336	203063362	1860764	32529040	96450608	89230383		1203359	73339769	2515034
	2008	106569712	9897141	233977934	2384817	49399518	120316303	115187049	0	758836	72797067	4423978
	2009	101845989	13241172	236754997	2917140	49397198	129112225	106492607	0	190596	83008290	3657396
	2010	86739557	4982199	191118780	6487569	59873471	141240888	84735179	0	190617	104475984	4798550
	2011	88482497	7106259	174767378	8108042	93549978	117396533	80829176	20930956	145333	131279288	3867299
	2012	99602358	8766496	187690270	17697782	95692237	116479130	85070266	26911803	94322	163127895	10665209
	2013	97175438	11220039	206874257	13792866	64992572	120818115	78681762	30710724	0	176997136	6127598
	2014	101423968	8682781	228158230	15849255	69966847	120701405	72395550	28221551	0	153324064	8133341
Arad	2007	110720890	2568183	199932228	2999735	45377094	106191699	69655518		42214936	112649895	1212203
	2008	131334552	6752826	304163721	2017968	61405880	124961417	94671217	0	25561014	115614710	1516385
	2009	140273008	8863212	281615952	3644545	55541385	124198740	103152956	0	43874276	118755636	2215986
	2010	132537162	8307892	226861332	6195183	57545039	126717584	113613607	0	91423073	174357005	3098083
	2011	169888496	7838783	208327637	11696576	68474432	105232655	94332934	107871432	61295121	202951867	4161760
	2012	188309381	9138814	227987685	16051593	90729580	113538140	90511693	75703526	9564447	222991385	6055731
	2013	148344446	8498419	256338384	15387427	87311006	121345196	70757614	49025517	9291695	175286834	6190853
	2014	163946614	11197286	274748948	13807873	91870377	132873859	88923361	53057225	23810365	190256628	8086629
Argeş	2007	117313377	8543040	316811726	5789772	63390984	168852345	109398049		77386949	114801204	2788113
	2008	145340626	15214686	382628920	7779255	83604757	200797330	172189656	0	24702323	181961042	6496286
	2009	143464159	14839351	379964427	7438439	84473429	185094139	169398419	0	52868028	135382441	3895212
	2010	121887488	11396401	323942521	12989612	79245932	194511939	143914364	0	57024129	142526790	4621243
	2011	120990044	9989652	300293597	18824820	96183589	161699285	106116380	48837569	44494082	192734916	5752928
	2012	147004530	13050362	327121154	18064554	136253615	169865597	108873021	110196658	40405410	184321895	6987276
	2013	139374397	13493366	365959502	26556385	121707421	186703086	154576956	68617496	39346842	210538820	12479403
	2014	151305852	14962047	443312831	28894764	134295235	186439384	159634402	73551532	29279028	217401477	16596261
Bacău	2007	120347858	11195453	342644922	6914013	46112197	170419596	73392600		52722865	104512264	1359567
	2008	151806200	16095449	408355187	25410504	70267427	189278758	96393933	0	23570972	180680819	6609664
	2009	161818550	15845983	416357591	14980533	58746117	182649694	98645904	0	25738582	94104706	2268932
	2010	145620474	12605245	347216023	11977235	60443119	197158653	100667994	0	59682986	116579612	4141843
	2011	143306755	10825030	320670611	25161607	80130124	171828308	73594369	103250232	38428525	223778864	3870729
	2012	153333434	12179842	321227652	51881791	91432721	168406878	72283834	104800906	114266456	192489804	4770655
	2013	176095876	15706542	360342072	28216269	72166235	181957966	79470485	124861050	65435706	188906049	5068229
	2014	172979519	15006055	412044910	22075666	74932079	186391198	87057649	63676427	65537271	193656412	11387238
Bihor	2007	116242523	3429775	312819483	4471530	72557533	176935738	109597969		44348187	134787094	2898007
	2008	134084807	4617602	385102189	11276542	91220915	204745380	182613463	0	40378315	158487596	7366048
	2009	134744523	7956717	380551773	11443880	82486322	208280895	167162314	0	33881006	131915116	11225101
	2010	119230713	8799709	324065142	42356410	79817424	209497749	166483135	0	57533172	137353800	35166907
	2011	121128054	6633609	295671559	53258409	98167927	167070928	127392252	64074535	54927234	210087105	22537733
	2012	127580956	7120156	318081728	39812492	99171659	169058545	128336855	63735213	49168823	230955247	38477099
	2013	126382446	8137124	356014637	26559007	95152851	172540040	139678226	34358988	31916410	231950248	42340129
	2014	130199937	8390550	424303989	16984483	106415917	185588454	147635327	57334748	80732090	283074124	49530346
Bistriţa - Năsăud	2007	67430822	3191132	178762220	2301655	28695474	62436772	29623383		1441582	56156589	4857069
	2008	79699396	5400778	216667308	3310490	42094785	73984440	33048757	0	0	73504125	3512641
	2009	80235652	5492783	213123192	5563514	32890951	81650525	63899145	0	0	43315456	4893897
	2010	63547155	4780942	186937797	5641687	28500326	90851988	74002686	0	0	79932248	8642276
	2011	66229403	6184461	170104374	10502271	47313358	86630951	85952010	97250472	0	130722970	13736516
	2012	73861598	7353511	172436722	8704319	54209773	92865255	98794104	85332585	0	171668746	7559279
	2013	78918824	6541295	195349727	8963073	44303389	96326314	93655378	24918649	15000	169210226	9133630
	2014	88521016	8200646	221264989	15752198	46193521	98017190	107044547	48996700	0	232635325	26154263
Botoşani	2007	71180368	4366213	212081760	2009309	19579525	112466132	36150438		39387051	70675422	241905
	2008	93484345	9526917	250279772	3611553	29900034	131925399	41429947	0	18235398	91296573	4873715
	2009	95646877	11431934	247989673	6259666	26066643	124455837	49557136	0	37787869	73834126	2210398
	2010	80593626	9125532	225700653	9567388	27228155	138481523	57272920	0	29689980	95538100	3206346
	2011	72729444	9154022	219360030	14485615	37990680	101994165	74408554	37852678	50140623	131396004	1750272
	2012	83654711	8494502	228242921	25849605	40707317	104674476	81227417	78892009	76226118	131245724	3880795
	2013	89449402	8871057	262984157	31140688	35654221	110750622	69332280	75765741	67860378	162819351	879174
	2014	94991782	8797637	305039123	31849137	54663189	111251257	49346650	43638879	17469632	173177345	3217761
Braşov	2007	115550873	17627486	283150147	9641091	73587087	112587341	115549615		76906465	210606933	2969416
	2008	190742953	26554563	334086040	19745181	108301624	141959835	129563567	0	45607812	241352886	3938547
	2009	180734906	25583125	338894175	10953633	91343719	146274576	152358616	0	90854000	244830258	27976599
	2010	148690957	17408758	292036518	14777833	87191567	145756295	162507307	0	93220370	250122437	25336640
	2011	139261976	15077012	260157302	14666647	97116223	120184450	123128728	94146458	53588322	247516543	142195963
	2012	162027447	15083741	273842372	16066751	128435304	127900885	141832737	60420628	45787690	292898356	56397795
	2013	169124671	15931860	316032558	17407328	116160805	147105726	145898627	61040688	18734923	262969728	37329171
	2014	166892712	16589283	346034922	16201320	107141313	146009905	137321878	76340364	50640686	299514448	25100032
Brăila	2007	48552234	5881555	162407953	531460	26995694	83652010	33450754		36879967	53411332	2454694
	2008	73355116	10205038	196943913	1959948	36048622	95201875	47765964	0	34116847	78706256	2934827
	2009	72197847	11566033	197348851	3137626	31460618	96962421	52817359	0	38920290	52664519	3210010
	2010	61847934	10290342	172885994	7866099	29788916	98787097	50216272	0	29012479	72550664	971218
	2011	58645668	8538393	159918209	44381853	46784282	81432352	54344129	19176821	29263699	109077968	2512528
	2012	64278949	9351421	155837066	17934479	51035061	84001717	79146455	96018001	16409477	97744966	5779286
	2013	74315224	10446312	179871701	12884357	47083057	91212151	73762569	19641552	1337227	96581820	12588545
	2014	77193721	11112692	220551198	23748129	37468959	97278402	59150244	24757591	0	139161259	5476641
Buzău	2007	84221137	10087511	234835825	636946	29407961	128271715	70818002		34778451	55742791	1790966
	2008	101192393	13860119	298138429	1423579	41488391	144219231	94479060	0	24112328	77232959	4036482
	2009	89124011	14242215	287339872	3967981	39890245	137149530	91186636	0	29571758	76327075	3050623
	2010	81088532	12254149	250769683	18658084	34974960	153907493	94332570	0	26285857	92419253	4501499
	2011	80828306	11879615	215105897	29336946	41116211	119881632	55749820	58706914	22276087	89815742	4119545
	2012	93824806	18354545	230504629	16268064	50663997	124099250	54827872	22766845	31783979	99533122	4314644
	2013	110018839	15774452	260104650	20640318	60700568	132422847	48904452	24575277	19711375	129725029	4925798
	2014	113497048	18492268	323015071	28283846	56787276	135221397	67497454	43064527	46118611	142890844	5648849
Caraş - Severin	2007	72749295	7372921	155390623	977771	25633676	91866287	92719235		2765876	22045988	3999211
