an	total	aparare	asigurari_sociale	mediu	invatamant	sanatate	dezvoltare_locuinte_mediu	servicii_publice_generale	cultura	energie	transporturi	altele
2007	530975056	6037834	71500994	0	139534623	1200000	105090797	55937003	15493486	0	136180319	0
2008	617181716	9644691	85708680	0	168487313	2288402	122173607	49364618	49528117	0	129986288	0
2009	645367289	10201761	101518996	0	210482303	24152	143079356	70503022	58075598	0	51482101	0
2010	618883349	8091397	90721414		186042250	62308	91623292	65418912	101705755		75218021	
2011	710785066	9741457	90870241	61985144	196996461	48059	15861655	45799801	195518946		93963302	
2012	620250435	11536507	94507142	64070477	164552244	36872	106769840	43209896	114986776	0	20580681	0
2013	739294706	15101105	111724092	93561194	166736910	34482	151990292	86716498	93399111		20031022	
2014	728272600	16247980	98169682	118963026	228896820	22411	29866645	76348302	135234179		24523555	
2015	1119829330	19074140	126483460	152878580	284183710	44400	269799780	105018620	133950140		28396500	
2016	1034071480	26329000	151234000	130298200	284247960	111000	167330620	121200350	131406450		21913900	
